TICKER;PRECO;SETOR;MÁXIMA;MÍNIMA;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
SBFG3;9,94;Consumo Cíclico;25,40;7,10;1,37;12,79;1,02;0,29;47,84;6,51;2,96;5,82;9,12;3,29;0,58;0,38;1,66;-0,6;1,53;7,97;2,29;10,17;0,29;0,71;0,77;26,04;-4,54;18.977.230,66;9,75;0,78;-0,19;2.426.217.534,48
SBSP3;53,15;Utilidade Pública;59,33;39,45;2,4;12,56;1,29;0,64;34,94;21,43;12,64;7,41;10,61;3,22;0,56;1,59;151,42;-0,72;1,04;10,3;5,08;8,33;0,49;0,51;0,4;8,59;2,8;173.182.651,00;41,08;4,23;3,23;36.232.858.155,69
SCAR3;19,12;Financeiro e Outros;34,00;11,82;;-24,34;0,74;0,31;52,96;36,16;-8,53;5,74;14,84;9,1;1,17;2,08;2,33;-0,39;2,83;-3,04;-1,26;5,52;0,41;0,58;0,15;-6,96;;228.291,05;25,86;-0,79;-0,03;1.103.937.539,28
SEDU3;23,8;Consumo Cíclico;-;-;;-13,36;15;1,53;48,36;-15,73;-25,77;-21,89;-27,94;-6,05;4,15;3,44;57,9;-2,27;1,09;-112,29;-11,46;-13,15;0,1;0,9;0,44;12,49;;;1,59;-1,78;0,01;6.238.667.820,00
SEER3;3,99;Consumo Cíclico;8,93;2,81;;-2,2;0,42;0,15;49,21;-0,47;-13,49;-62,79;-124,83;-61,89;0,42;0,3;2,93;-0,19;1,32;-19,2;-6,89;-0,97;0,36;0,64;0,51;6,36;;2.721.670,13;9,39;-1,8;0;512.311.808,80
SEQL3;1,47;Bens Industriais;9,15;1,36;;-1,34;0,5;0,11;16,71;1,12;-9,11;10,88;57,77;46,82;2,16;0,12;2,56;-0,15;1,15;-37,61;-7,92;-0,09;0,21;0,79;0,87;;;9.823.077,13;2,93;-1,1;0;208.238.979,24
SGPS3;1,29;Consumo Cíclico;4,81;0,71;;-0,14;0,11;0,02;24,22;-7,26;-31,4;-0,61;-8,26;-7,63;1,32;0,04;0,93;-0,04;1,07;-75;-15,48;-6,85;0,21;0,79;0,49;-5,73;;791.740,32;12,12;-9,09;0;66.000.000,00
SHOW3;1,94;Consumo Cíclico;4,01;1,36;;-23,6;1;0,2;23,24;10,7;-1,41;3,1;1,1;-1,93;-0,63;0,33;1,99;-0,7;1,17;-4,25;-0,87;15,65;0,2;0,79;0,62;-12,84;;572.382,97;1,93;-0,08;0,27;128.083.995,10
SHUL3;111,89;Bens Industriais;-;-;0,23;129,94;34,8;16,79;27,66;19,05;14,36;98;45,16;0,27;0,1;18,67;44,47;-48,38;2,37;26,78;12,92;19,3;0,48;0,52;0,9;24,97;50,3;;3,22;0,86;2,54;18.314.932.280,12
SHUL4;6,01;Bens Industriais;6,04;3,94;4,72;7,01;1,88;0,91;27,66;19,05;14,36;5,29;45,16;0,27;0,1;1,01;2,4;-2,61;2,37;26,78;12,92;19,3;0,48;0,52;0,9;24,97;50,3;2.092.437,68;3,22;0,86;0,14;18.314.932.280,12
SIMH3;9,21;Financeiro e Outros;12,37;5,97;1,71;26,06;2,66;0,13;29,92;19,46;1,09;1,46;7,06;5,63;10,25;0,28;0,9;-0,19;1,82;10,19;0,5;11,35;0,05;0,9;0,46;27,43;;30.863.483,66;3,47;0,35;-0,38;7.579.207.497,36
SLCE3;35,09;Consumo não Cíclico;54,18;34,80;8,39;7,49;1,52;0,5;30,76;23,59;11,58;3,68;4,92;1,25;0,52;0,87;2,39;-0,95;1,78;20,34;6,64;19,01;0,33;0,65;0,57;34;24,39;60.053.185,00;23,02;4,68;-0,27;7.946.869.921,48
